SEQNAME	SOURCE	FEATURE	START	END	SCORE	STRAND	FRAME	ATTRIBUTE
V01555.2	genbank	exon	109930	111792	.	+	.	gene_id "BKRF2"; transcript_id "BKRF2_lytic"; # predicted TATA at 109905
V01555.2	genbank	5UTR	109930	109957	.	+	.	gene_id "BKRF2"; transcript_id "BKRF2_lytic";
V01555.2	genbank	start_codon	109958	109960	.	+	0	gene_id "BKRF2"; transcript_id "BKRF2_lytic"; 
V01555.2	genbank	CDS	109958	110368	.	+	0	gene_id "BKRF2"; transcript_id "BKRF2_lytic"; 
V01555.2	genbank	stop_codon	110369	110371	.	+	0	gene_id "BKRF2"; transcript_id "BKRF2_lytic"; 
V01555.2	genbank	3UTR	110372	111792	.	+	.	gene_id "BKRF2"; transcript_id "BKRF2_lytic"; # predicted polyA at 111787
V01555.2	genbank	exon	110352	111792	.	+	.	gene_id "BKRF3"; transcript_id "BKRF3_lytic"; # used ATG-1
V01555.2	genbank	5UTR	110352	110352	.	+	.	gene_id "BKRF3"; transcript_id "BKRF3_lytic";
V01555.2	genbank	start_codon	110353	110355	.	+	0	gene_id "BKRF3"; transcript_id "BKRF3_lytic"; 
V01555.2	genbank	CDS	110353	111117	.	+	0	gene_id "BKRF3"; transcript_id "BKRF3_lytic"; 
V01555.2	genbank	stop_codon	111118	111120	.	+	0	gene_id "BKRF3"; transcript_id "BKRF3_lytic"; 
V01555.2	genbank	3UTR	111121	111792	.	+	.	gene_id "BKRF3"; transcript_id "BKRF3_lytic"; # predicted polyA at 111787
V01555.2	genbank	exon	111133	111792	.	+	.	gene_id "BKRF4"; transcript_id "BKRF4_lytic"; # used ATG-1
V01555.2	genbank	5UTR	111133	111133	.	+	.	gene_id "BKRF4"; transcript_id "BKRF4_lytic";
V01555.2	genbank	start_codon	111134	111136	.	+	1	gene_id "BKRF4"; transcript_id "BKRF4_lytic"; 
V01555.2	genbank	CDS	111134	111784	.	+	1	gene_id "BKRF4"; transcript_id "BKRF4_lytic"; 
